,birthday,entry_year,department,marital_status,performance_rating,job_satisfaction,working_hours,salary,last_year_salary,num_companies_worked,attrition
348,1979-9-7,2005,rnd,single,high,very high,6.67,3652600,3407593,2.0,no
349,1992-5-10,2017,sales,married,high,high,8.67,6227000,5802814,1.0,no
350,1979-10-7,2017,hr,,high,high,9.0,5436990,5141361,0.0,no
351,1989-10-5,2013,rnd,married,high,medium,7.2,6452136,6033981,1.0,no
352,1973-3-23,2006,sales,married,very high,high,9.0,9730800,8779933,3.0,no
353,1984-11-11,2008,rnd,,high,low,7.2,4579632,4296896,4.0,no
354,1991-2-15,2017,sales,married,high,high,6.93,7275008,6860626,7.0,no
355,1995-12-9,2013,sales,married,high,high,9.0,6013440,5526043,1.0,no
356,1979-10-26,2007,rnd,single,very high,very high,6.93,8355152,7492737,3.0,no
357,2000-12-17,2018,sales,single,high,medium,8.67,10075000,9523584,1.0,yes
358,1985-6-7,2014,sales,single,high,very high,7.8,4314492,3996010,4.0,no
359,1985-8-10,2005,sales,married,high,very high,6.93,4060368,3838139,4.0,no
360,1964-9-18,2006,rnd,married,high,high,7.5,8062650,7628583,2.0,no
361,1981-11-26,2011,rnd,married,high,high,8.33,4415500,4133589,3.0,no
362,2000-2-5,2018,sales,single,very high,very high,8.1,3982041,3548107,1.0,no
363,1988-5-6,2020,sales,single,high,high,7.5,2867175,2685375,1.0,yes
364,1984-3-8,2004,rnd,married,very high,low,8.33,9636250,8722956,6.0,no
365,1975-1-22,2014,rnd,married,high,high,8.1,2824389,2634937,2.0,no
366,1980-4-17,2013,sales,single,high,medium,8.1,5447088,4975418,1.0,yes
367,1971-7-25,2001,rnd,single,high,very high,9.0,10960650,10153450,6.0,no
368,1981-4-4,2013,sales,married,high,high,7.5,6093000,5742695,2.0,yes
369,1990-6-28,2018,rnd,single,high,medium,8.33,3950250,3656623,0.0,no
370,2000-3-29,2020,sales,single,high,medium,8.1,8722728,8110393,1.0,yes
371,1992-12-22,2015,rnd,single,high,very high,8.67,5701020,5278233,9.0,no
372,1986-7-27,2011,rnd,single,high,medium,9.0,10274310,9378649,9.0,no
373,1994-10-26,2016,rnd,,high,medium,7.8,7833150,7400935,1.0,no
374,1993-3-7,2014,sales,single,high,very high,7.8,8482968,7851691,1.0,no
375,1972-3-13,1995,rnd,single,very high,high,8.1,3027780,2699518,8.0,no
376,1970-2-26,2003,sales,married,high,very high,7.2,7556328,7133995,4.0,no
377,1985-4-28,2015,rnd,married,high,high,7.2,8297424,7790276,4.0,no
378,1987-8-29,2012,sales,single,high,very high,6.67,5161600,4827986,,yes
379,1966-9-7,1991,rnd,single,high,very high,8.67,10154560,9522280,,no
380,1997-1-3,2016,sales,,high,high,7.5,6957450,6559918,1.0,no
381,1991-12-30,2020,sales,married,high,medium,8.33,7370500,6740283,1.0,no
382,1995-9-28,2014,rnd,single,very high,low,7.2,6267240,5630437,0.0,yes
383,1999-1-25,2019,rnd,married,high,medium,7.5,3691575,3452005,1.0,no
384,1985-8-1,2011,sales,married,high,high,9.0,6629580,6203406,,no
385,1991-6-21,2018,rnd,single,very high,very high,7.8,3604302,3221002,,yes
386,1984-6-26,2003,rnd,,high,low,9.0,10030770,9450508,1.0,no
387,1981-12-13,2013,sales,,high,medium,7.5,3926925,3701503,,no
388,1979-5-16,2013,rnd,,high,low,6.67,7628600,7038752,3.0,no
389,1984-6-21,2003,rnd,single,high,medium,7.2,4383936,4120240,2.0,no
390,1978-11-28,1996,rnd,,high,medium,8.1,5963949,5626366,1.0,no
391,1981-5-4,2001,rnd,married,very high,high,8.33,7706750,6929907,,no
392,1967-3-19,1997,rnd,married,high,low,6.93,7069088,6688511,,no
393,1987-4-25,2015,sales,married,high,high,6.93,6125184,5677249,9.0,no
394,1990-2-15,2008,rnd,married,high,low,7.2,2892456,2724362,1.0,no
395,1978-9-17,2013,rnd,married,very high,very high,7.8,5813262,5262299,7.0,no
396,1978-1-21,2013,rnd,,high,high,7.5,6760125,6292585,4.0,no
397,1996-6-22,2016,sales,single,high,very high,9.0,10449810,9885356,,no
398,1984-3-16,2006,rnd,married,high,high,8.33,7418750,6876853,3.0,no
399,1990-7-25,2017,rnd,married,high,low,8.33,9613250,9036708,1.0,no
400,1982-11-12,2000,rnd,,high,high,7.8,4925700,4601307,,no
401,1965-10-16,1985,sales,married,high,low,8.1,8392005,7920722,,no
402,1991-8-6,2015,sales,single,high,high,9.0,8831430,8351234,,no
403,1980-12-24,2011,sales,married,high,low,8.67,5224960,4819629,,no
404,1993-12-21,2011,rnd,,high,low,7.5,6907050,6506264,1.0,no
405,1996-8-26,2015,rnd,married,high,low,8.33,8888000,8310425,5.0,yes
406,1969-12-4,1993,rnd,married,high,high,6.67,3296800,3075660,,no
407,1976-10-8,2013,rnd,married,very high,very high,7.5,6190425,5601687,3.0,no
408,1969-10-28,1990,rnd,married,high,very high,9.0,3488130,3261458,2.0,no
409,1979-2-5,2002,rnd,,high,high,8.1,8912511,8443875,2.0,no
410,1991-9-4,2010,rnd,single,very high,very high,6.93,3439696,3122454,2.0,no
411,1961-11-22,1988,rnd,married,high,low,7.8,4008186,3782021,5.0,no
412,1975-1-9,2002,rnd,,high,high,8.1,8412903,7827412,2.0,no
413,1979-1-21,2014,rnd,married,high,very high,8.1,8598798,8128176,0.0,no
414,1997-4-13,2015,sales,single,high,medium,7.5,5747175,5305737,1.0,yes
415,1987-12-16,2018,sales,,high,high,6.67,2631200,2431343,0.0,yes
416,1983-3-29,2020,rnd,married,very high,very high,7.8,4095936,3668549,1.0,no
417,1981-6-18,2000,sales,married,high,high,8.1,7474680,6975251,0.0,no
418,1995-3-5,2018,rnd,,very high,very high,8.67,9516780,8547494,,no
419,1991-9-2,2012,rnd,married,high,very high,8.1,5103000,4730255,4.0,no
420,1992-10-24,2011,rnd,married,high,high,8.33,9149250,8363117,1.0,no
421,1992-2-27,2015,rnd,married,high,medium,6.93,5969600,5507519,5.0,yes
422,2002-5-23,2020,hr,single,high,very high,6.93,4287920,4043300,1.0,yes
423,1991-8-1,2011,sales,married,high,low,7.2,6164424,5829242,0.0,no
424,1964-6-1,1989,sales,,high,very high,6.67,4585400,4324625,3.0,no
425,1971-2-15,1993,rnd,married,high,high,8.67,9390940,8713872,0.0,no
426,1991-1-11,2009,rnd,single,high,very high,7.5,4503375,4200125,0.0,no
427,1961-5-26,1999,sales,married,high,low,6.93,6688864,6084104,4.0,no
428,1974-9-22,2001,rnd,,high,very high,7.5,5899050,5529668,5.0,no
429,1975-11-27,1995,rnd,married,high,high,9.0,5346000,5016891,6.0,no
430,1986-1-13,2015,rnd,single,high,high,8.67,4690140,4360081,0.0,no
431,1967-1-2,2002,rnd,single,high,high,8.67,4382560,4139176,7.0,no
432,1987-9-3,2007,rnd,,high,high,6.67,4897400,4606716,3.0,no
433,1975-1-21,2006,sales,married,high,very high,7.5,8338275,7611387,2.0,no
434,1990-7-6,2008,rnd,,very high,medium,7.8,3078036,2735059,1.0,no
435,1988-12-17,2006,rnd,married,high,high,8.1,5663358,5325207,7.0,yes
436,1988-5-31,2013,rnd,,high,very high,8.33,3667250,3442134,7.0,yes
437,1991-5-6,2017,sales,single,high,medium,6.67,4639600,4319523,0.0,no
438,1986-3-21,2011,rnd,married,high,high,8.33,7211250,6780677,4.0,no
439,1990-7-5,2009,rnd,married,high,high,8.67,6798740,6411486,3.0,yes
440,1987-5-5,2010,hr,,high,low,7.8,4186962,3893399,9.0,yes
441,1979-10-10,2013,rnd,married,high,high,8.67,9837620,9026167,,no
442,1985-3-17,2011,sales,single,high,very high,7.8,2814786,2625978,1.0,no
443,1999-5-14,2017,rnd,single,high,high,7.2,8637408,7983554,5.0,yes
444,1973-9-14,2007,sales,married,high,very high,8.1,3489966,3249200,2.0,no
445,1966-1-19,1984,sales,single,very high,medium,6.93,6788496,6062781,3.0,no
446,1980-4-30,2005,sales,single,high,very high,8.1,5637357,5244540,7.0,no
447,1986-1-17,2006,sales,married,high,high,8.33,8576500,8100207,9.0,no
448,1981-8-2,1999,rnd,single,high,high,8.33,7256500,6738322,7.0,no
449,1982-12-31,2013,rnd,married,high,high,6.67,3685000,3491567,1.0,no
450,1990-8-7,2011,sales,single,high,very high,6.93,6468800,6051828,4.0,no
451,1979-10-26,2011,rnd,married,very high,low,6.67,4439400,4007402,1.0,no
452,1976-2-22,2012,sales,married,high,medium,8.1,6082776,5544413,,no
453,1995-6-3,2013,hr,,high,high,7.8,5261022,4965570,0.0,yes
454,1992-11-18,2013,rnd,,high,very high,7.2,2911248,2744906,4.0,no
455,1988-12-1,2011,rnd,,high,high,8.33,9489750,8646697,,no
456,1990-6-12,2011,sales,,very high,very high,7.5,4073400,3686001,9.0,no
457,2003-5-30,2021,sales,single,high,medium,7.5,6086700,6086700,1.0,yes
458,1981-11-25,2001,sales,,high,low,7.8,5433246,5052772,3.0,no
459,1980-1-16,2011,rnd,single,high,high,7.2,5540832,5103935,,no
460,1995-7-15,2013,sales,,high,high,6.93,3705520,3493795,5.0,no
461,1986-5-21,2016,sales,single,high,high,6.93,6584864,6079084,1.0,no
462,1987-2-11,2011,sales,single,high,very high,6.67,6027800,5666823,1.0,no
463,1995-3-7,2020,rnd,single,high,very high,6.93,5396768,4938025,,yes
464,1984-6-28,2009,rnd,single,high,very high,8.67,6191900,5681684,4.0,no
465,1975-2-6,1993,rnd,married,high,high,8.33,8618000,8154035,5.0,no
466,1980-2-2,1999,sales,married,high,low,6.93,7682480,7104198,,no
467,1984-2-15,2012,sales,,high,medium,7.5,5988600,5600486,1.0,no
468,1969-11-19,2003,rnd,,high,low,6.67,6279000,5917444,3.0,no
469,1989-2-20,2015,sales,married,high,high,8.33,6060750,5691913,8.0,yes
470,1997-9-6,2018,sales,married,high,very high,8.33,3589250,3369871,0.0,no
471,1983-1-24,2003,rnd,married,high,high,7.8,6990984,6356595,3.0,no
472,1984-12-30,2013,rnd,married,high,medium,8.33,6517250,6147189,,no
473,1972-7-10,1990,rnd,,high,high,6.67,4719200,4331528,1.0,no
474,1997-3-17,2015,rnd,married,high,very high,7.8,8217378,7769835,,no
475,1995-5-29,2015,sales,married,very high,medium,6.93,5303584,4799623,1.0,no
476,1997-4-10,2020,rnd,married,very high,medium,7.2,8319240,7525999,1.0,no
477,1971-8-17,1989,hr,married,high,medium,7.8,9446112,8929960,1.0,no
478,1996-10-17,2014,sales,married,high,high,6.93,3340480,3151990,1.0,no
479,1997-12-20,2015,rnd,married,high,high,9.0,5745330,5306973,1.0,yes
480,1991-8-5,2020,sales,married,high,low,6.93,6234176,5703207,1.0,yes
481,1987-2-6,2015,rnd,married,high,very high,7.8,7650864,7160378,1.0,no
482,1990-5-2,2012,sales,,high,low,7.8,4142034,3809467,2.0,yes
483,1986-11-11,2012,rnd,single,high,very high,7.8,4862520,4531283,4.0,no
484,1990-11-19,2008,sales,,very high,very high,7.2,5617296,5047440,,no
485,1994-9-23,2015,rnd,,high,high,7.8,6206148,5830106,0.0,no
486,1984-7-16,2004,sales,married,high,high,7.8,6949566,6586017,4.0,no
487,2001-11-22,2020,rnd,single,high,medium,7.2,7169472,6723060,1.0,no
488,1979-8-4,2011,rnd,married,high,very high,8.33,8134750,7603991,,no
489,1978-8-4,2000,rnd,,high,very high,7.2,4145040,3857645,4.0,no
490,1983-8-25,2013,rnd,single,high,low,7.5,3701700,3404488,3.0,no
491,1978-3-3,2011,rnd,,high,high,8.1,6993540,6547645,3.0,no
492,1973-11-29,2000,rnd,married,high,low,7.2,3440232,3256561,,no
493,1977-2-26,2011,hr,single,high,high,8.67,5247840,4970016,4.0,no
494,1987-3-19,2013,sales,,high,high,7.5,2852775,2611713,1.0,no
495,1994-5-5,2016,sales,,high,low,7.8,8036964,7604999,0.0,yes
496,2000-2-10,2018,sales,single,high,high,7.5,4213575,3982961,1.0,no
497,1977-6-21,1995,rnd,married,high,very high,7.2,2811672,2651520,4.0,no
498,1999-6-1,2018,rnd,married,very high,high,8.1,6905088,6249513,0.0,no
499,1988-5-9,2015,sales,,high,high,8.33,4089500,3840266,0.0,no
500,1989-12-26,2015,rnd,married,high,very high,7.8,8509410,8001325,1.0,no
501,1991-2-17,2020,rnd,,very high,high,7.8,6544746,5935200,1.0,no
502,1968-10-13,2003,sales,single,very high,low,8.67,3625960,3291838,,no
503,1987-11-9,2011,rnd,married,high,very high,7.8,4140630,3891203,1.0,no
504,1976-10-25,2016,sales,married,high,low,7.2,8571960,7985802,2.0,yes
505,1995-9-22,2018,rnd,married,high,very high,7.2,6310440,5920848,1.0,no
506,1984-8-30,2011,rnd,married,high,high,7.2,3029400,2806039,1.0,no
507,1992-11-16,2015,sales,married,high,high,9.0,6779970,6312233,1.0,no
508,1986-1-26,2004,rnd,single,high,very high,8.1,8205138,7670503,,no
509,1988-4-1,2006,rnd,,very high,very high,6.93,2465424,2204026,,no
510,1967-8-17,2005,hr,married,high,medium,8.67,9330360,8654447,,no
511,1985-3-29,2008,rnd,,high,medium,7.8,4483674,4241485,2.0,no
512,1994-4-15,2016,rnd,single,high,very high,8.67,5788120,5410975,0.0,no
513,2001-8-22,2020,rnd,single,high,high,7.2,2582064,2437519,1.0,yes
514,1988-10-28,2011,rnd,single,high,low,7.2,5937624,5627012,1.0,yes
515,1986-7-14,2020,rnd,married,high,high,7.2,3630744,3330652,1.0,no
516,1998-8-2,2016,rnd,married,high,low,8.33,5746000,5311026,2.0,no
517,1996-10-14,2017,sales,married,very high,medium,8.67,5961020,5350525,0.0,no
518,1983-11-24,2013,sales,single,very high,very high,6.93,4025216,3643059,0.0,no
519,1992-3-7,2011,rnd,,high,very high,9.0,8320320,7627722,1.0,no
520,1973-3-15,2009,sales,married,high,medium,6.93,4832672,4546257,,no
521,1994-7-14,2015,sales,,very high,very high,6.93,5750160,5218404,1.0,no
522,1984-11-15,2017,rnd,single,high,very high,8.1,7824357,7179626,3.0,no
523,1971-12-13,2001,rnd,married,high,high,8.33,7415500,7001038,1.0,no
524,1987-2-26,2012,rnd,single,high,medium,6.67,3780000,3518897,,no
525,1997-6-3,2017,sales,single,high,high,6.67,5341000,4980882,9.0,yes
526,1982-3-15,2001,rnd,single,high,high,9.0,8574660,8111493,1.0,no
527,1989-9-23,2011,sales,single,high,very high,7.8,5039658,4748123,1.0,no
528,1971-5-28,2003,sales,married,high,high,8.1,5076270,4742847,3.0,yes
529,1983-10-7,2011,rnd,single,high,very high,7.2,3032856,2836300,0.0,no
530,1994-9-17,2012,rnd,married,high,low,8.67,7051200,6657728,1.0,no
531,1989-7-22,2011,rnd,single,high,very high,7.5,3376575,3126458,3.0,no
532,1974-10-30,2001,sales,single,high,low,8.33,4081000,3831924,2.0,no
533,1981-12-25,2001,sales,married,very high,low,9.0,5137290,4637380,5.0,no
534,1968-1-13,1989,rnd,married,high,high,6.67,4825800,4391882,3.0,no
535,1980-4-25,1998,hr,,high,very high,8.1,7071786,6549769,3.0,no
536,1961-4-10,2011,sales,single,high,low,7.2,7440768,6926799,8.0,no
537,1994-3-9,2012,rnd,,very high,low,7.8,2769390,2503516,1.0,no
538,1980-2-15,1999,hr,married,high,high,7.8,5448456,5128924,1.0,no
539,1971-4-15,2017,sales,married,high,medium,7.8,4824846,4485725,7.0,no
540,1993-6-2,2011,rnd,single,high,medium,8.1,6347160,5933034,,yes
541,1985-8-8,2011,rnd,married,high,low,7.8,6083766,5669865,9.0,no
542,1983-1-12,2011,rnd,single,high,high,8.33,7977750,7448184,4.0,no
543,1977-3-10,2012,rnd,single,high,high,6.67,3799800,3539966,2.0,no
544,1974-9-5,1993,sales,,high,high,9.0,5198310,4889765,9.0,no
545,1991-6-20,2011,sales,,very high,very high,8.1,9615753,8610094,7.0,no
546,1992-10-2,2020,sales,single,high,high,6.93,8425248,7981477,1.0,no
547,1979-11-24,2014,rnd,,high,high,8.1,5411610,5088969,6.0,yes
548,1978-11-13,2014,sales,married,high,very high,7.2,4096656,3749456,3.0,no
549,1987-6-5,2011,rnd,single,high,high,8.33,9628750,9093162,3.0,no
550,1998-9-1,2016,rnd,married,high,low,6.67,3035400,2829945,,no
551,1982-5-22,2009,hr,married,high,medium,6.93,3626064,3359644,9.0,no
552,1965-5-6,1991,rnd,married,high,very high,7.2,7176168,6784049,7.0,no
553,1981-6-23,2016,rnd,single,very high,very high,7.2,7371216,6684091,0.0,no
554,1994-4-30,2012,rnd,single,high,low,6.67,4596400,4180825,8.0,no
555,1992-11-30,2019,sales,,high,medium,8.1,8031879,7492424,1.0,no
556,1968-8-23,2002,rnd,single,high,very high,6.67,6690000,6161923,,no
557,1986-9-23,2005,rnd,,high,low,6.93,5218304,4945790,2.0,no
558,1989-3-19,2011,rnd,married,high,very high,8.33,8180250,7582730,1.0,no
559,1983-8-5,2015,rnd,married,high,high,7.2,7856784,7355850,6.0,no
560,1987-4-24,2014,rnd,,high,low,8.67,3383380,3151727,3.0,no
561,1969-6-2,1987,sales,married,high,low,7.5,2823300,2673326,1.0,no
562,1988-4-28,2011,rnd,single,high,very high,6.67,4869800,4569578,,yes
563,1996-11-4,2015,sales,single,very high,very high,8.67,3149380,2824302,,no
564,1976-6-22,2012,sales,single,high,high,8.67,4671940,4379396,,no
565,1998-1-30,2019,rnd,single,high,high,7.5,7192125,6580771,,no
566,1974-8-6,2013,sales,single,high,high,7.2,6502464,6122847,4.0,yes
567,1987-3-30,2015,sales,single,very high,very high,6.67,4943000,4444344,1.0,no
568,1966-9-2,1997,rnd,married,high,low,8.67,8029060,7507302,5.0,yes
569,1985-11-8,2011,sales,single,high,low,6.67,6047400,5616606,1.0,no
570,1969-10-19,2016,rnd,married,high,very high,8.67,4473560,4094416,0.0,no
571,1995-12-5,2016,rnd,,high,very high,6.93,5923216,5515612,3.0,no
572,1992-6-26,2010,rnd,married,high,high,9.0,7128540,6712372,4.0,no
573,1995-6-4,2015,sales,single,high,low,6.93,3045744,2799139,6.0,yes
574,1987-3-20,2011,rnd,single,high,very high,7.8,6648408,6131520,2.0,no
575,1967-1-20,2012,rnd,,high,low,7.2,8206272,7743957,9.0,no
576,1994-1-12,2016,sales,married,high,very high,6.93,6835504,6238481,0.0,no
577,1984-1-26,2015,rnd,,high,low,8.1,7988868,7469023,,no
578,1983-6-5,2004,rnd,single,high,low,7.2,6608520,6219783,6.0,no
579,1987-11-4,2015,rnd,single,high,low,7.8,8050302,7621226,1.0,no
580,1986-11-3,2018,sales,married,high,very high,6.93,6124144,5658453,1.0,no
581,1991-1-6,2014,rnd,married,very high,high,8.33,3551000,3199387,3.0,no
582,1981-2-24,2013,rnd,married,very high,medium,9.0,4138020,3686432,1.0,no
583,1987-10-5,2015,sales,married,high,low,6.67,7483800,6887355,5.0,no
584,1979-7-10,1997,rnd,,high,very high,6.93,5443984,5096408,1.0,no
585,1998-12-2,2020,rnd,married,very high,low,6.67,5015200,4533719,1.0,yes
586,1997-8-2,2020,rnd,,high,medium,9.0,6477570,6137549,,no
587,1969-4-1,2012,rnd,married,very high,high,6.67,6536600,5939124,8.0,no
588,1971-5-9,1991,rnd,married,high,high,9.0,7012710,6489644,5.0,no
589,1992-1-9,2020,rnd,married,high,low,7.8,3146364,2980075,1.0,yes
590,1988-11-15,2007,rnd,married,high,high,8.67,5061160,4794127,0.0,no
591,1988-8-6,2015,sales,single,high,low,9.0,7403940,6866944,5.0,yes
592,1974-7-3,1995,rnd,married,high,very high,7.8,3073590,2910872,,no
593,1985-1-5,2011,rnd,married,high,medium,8.67,3859180,3584266,0.0,no
594,1992-12-12,2011,rnd,married,very high,high,6.93,6667440,5929248,1.0,no
595,1963-2-14,1981,rnd,single,high,medium,6.93,2426944,2284397,7.0,yes
596,1986-5-24,2014,rnd,single,high,high,9.0,4149630,3884330,3.0,no
597,1979-11-9,2013,rnd,married,high,very high,6.67,3367000,3158832,9.0,no
598,1993-2-12,2016,rnd,single,high,high,8.33,4632250,4265423,6.0,yes
599,1985-3-3,2013,hr,married,high,medium,6.93,3139344,2947187,4.0,no
600,1989-1-8,2007,rnd,married,high,high,6.67,7976400,7519230,,no
601,1981-6-28,2011,rnd,single,high,high,8.33,5014000,4679858,6.0,no
602,1991-8-11,2009,rnd,single,very high,very high,6.93,4143152,3696272,5.0,no
603,1976-9-5,2020,rnd,single,high,high,8.67,9835800,9188901,1.0,no
604,1979-12-30,2011,rnd,married,high,medium,6.67,8002000,7509384,1.0,no
605,1983-3-21,2008,rnd,,high,low,7.2,4023432,3734736,2.0,no
606,1987-5-5,2015,rnd,single,high,very high,7.8,9378954,8676183,1.0,no
607,1972-3-27,2012,sales,married,high,very high,8.1,4416282,4044955,1.0,yes
608,1966-10-30,2009,sales,single,high,very high,8.33,3792250,3503233,,yes
609,1978-4-25,1999,rnd,married,very high,low,7.8,8737560,7777089,6.0,no
610,1994-10-25,2012,rnd,,high,very high,9.0,4670190,4323449,1.0,no
611,1986-2-8,2004,rnd,single,very high,high,7.8,5315544,4793096,3.0,no
612,1993-8-7,2013,sales,married,very high,medium,6.67,6650600,6029009,,no
613,1987-8-14,2017,hr,married,high,very high,9.0,9447300,8624520,0.0,no
614,1995-3-29,2013,rnd,married,high,high,8.33,8837500,8225521,1.0,yes
615,1994-6-1,2021,rnd,married,high,very high,6.67,4083200,4083200,1.0,no
616,1970-7-31,1992,sales,married,high,high,8.67,7106060,6639316,2.0,no
617,1977-1-25,2011,rnd,single,high,medium,9.0,5403240,5090672,9.0,no
618,1996-1-1,2015,rnd,single,high,low,7.5,5999400,5612160,7.0,no
619,1988-7-2,2012,sales,,very high,low,8.33,4820250,4328140,1.0,no
620,1986-5-8,2015,rnd,single,high,low,7.2,4499928,4261699,1.0,no
621,1985-8-19,2003,sales,married,high,very high,7.5,4930200,4603361,1.0,no
622,1989-7-19,2013,sales,,high,very high,7.5,6744150,6381067,2.0,no
623,1991-6-6,2011,rnd,,high,very high,7.2,6437016,6058938,,no
624,1968-3-7,1986,sales,married,high,very high,7.2,6764904,6188732,7.0,no
625,1976-3-8,2003,sales,,high,low,8.1,7353423,6925431,4.0,no
626,1989-10-20,2012,rnd,married,high,high,9.0,9866070,9287461,5.0,no
627,1969-1-20,1990,rnd,married,very high,very high,7.8,7478406,6714919,,no
628,1984-7-27,2012,sales,,high,high,7.2,5837184,5329788,4.0,no
629,1993-4-29,2015,hr,,high,very high,7.8,5776758,5417572,1.0,no
630,1999-6-25,2017,rnd,married,very high,very high,6.93,2799680,2514080,6.0,no
631,1977-1-29,2011,rnd,married,very high,very high,7.8,6015672,5349641,2.0,no
632,1979-5-27,2013,rnd,single,high,very high,8.33,3474000,3238858,,no
633,1985-7-1,2015,hr,married,very high,low,7.8,7276230,6568773,0.0,no
634,1996-4-22,2016,sales,married,high,low,7.8,9222408,8457045,1.0,no
635,1986-2-10,2004,rnd,married,very high,high,6.67,5220600,4736526,1.0,no
636,1986-5-27,2011,rnd,,high,medium,6.67,7774000,7082080,1.0,yes
637,1989-10-1,2017,rnd,,high,very high,6.67,4796000,4519411,0.0,no
638,1996-6-6,2016,sales,married,high,low,8.1,8405127,7919652,1.0,no
639,1972-4-13,2014,rnd,married,high,low,8.33,3565000,3295128,2.0,no
640,1997-8-20,2015,rnd,married,high,very high,6.67,3529200,3252419,,no
641,1989-8-15,2011,sales,married,high,medium,6.93,4198688,3918148,,no
642,1983-8-5,2018,sales,married,high,medium,7.5,8842275,8067033,,no
643,1979-4-12,2004,rnd,married,high,very high,7.2,8025048,7523952,2.0,no
644,1990-2-27,2013,rnd,married,high,very high,8.33,4969750,4536098,3.0,no
645,1992-3-19,2016,sales,,high,high,9.0,5307660,4827339,,yes
646,1968-4-4,1993,sales,married,high,very high,6.67,5839200,5441938,,no
647,1986-10-11,2005,rnd,married,high,medium,6.67,6261800,5779767,,no
648,1984-11-5,2011,sales,married,high,very high,7.5,4791600,4441190,,no
649,1968-4-11,1988,rnd,single,high,very high,8.33,7277000,6660869,6.0,no
650,1978-10-8,2009,rnd,married,high,very high,9.0,3833190,3597888,4.0,no
651,1974-6-6,2013,sales,married,very high,very high,7.2,3076488,2764885,0.0,no
652,1984-8-23,2011,sales,single,high,medium,7.8,3016728,2824916,1.0,no
653,1971-10-14,1990,rnd,,high,low,9.0,10602900,10015018,1.0,no
654,1982-11-12,2008,hr,married,high,very high,8.33,4202000,3974650,8.0,no
655,1988-10-13,2014,hr,,high,medium,7.8,5122962,4853128,3.0,no
656,1989-8-30,2020,rnd,single,very high,very high,7.8,8324082,7422937,1.0,yes
657,1992-2-25,2013,rnd,,high,very high,8.67,6436820,6005616,6.0,no
658,1977-1-15,2013,rnd,married,high,low,8.33,6102750,5713115,1.0,no
659,1993-8-28,2017,sales,single,high,very high,8.1,9392436,8754251,,no
660,1963-11-12,2018,rnd,,high,very high,8.33,5756750,5371104,9.0,yes
661,1978-12-4,2017,rnd,,very high,medium,6.93,4557488,4106214,4.0,no
662,2001-4-5,2019,sales,single,high,high,6.67,3763400,3523782,1.0,yes
663,2000-8-5,2020,rnd,single,high,very high,7.5,5731425,5228448,,yes
664,1985-8-31,2004,rnd,married,high,very high,8.1,6471333,5961614,0.0,no
665,1974-10-17,2018,sales,single,high,very high,8.1,6157620,5645049,1.0,no
666,1999-12-31,2017,rnd,married,high,high,6.93,2735200,2495165,0.0,yes
667,1980-10-9,2011,rnd,,high,very high,8.33,5858750,5497044,4.0,yes
668,1993-6-19,2015,rnd,,high,high,6.67,6222400,5703914,5.0,no
669,1982-8-9,2013,rnd,married,very high,low,9.0,7634790,6900569,7.0,yes
670,1994-6-11,2020,rnd,single,high,high,6.67,6231400,5686102,1.0,no
671,1987-7-1,2020,rnd,,high,medium,8.33,8139000,7574685,1.0,no
672,1979-5-21,2011,sales,single,high,high,6.67,5244400,4831767,7.0,no
673,1988-10-14,2015,rnd,single,high,low,8.1,9910755,9370986,3.0,no
674,1963-4-22,1997,rnd,,high,medium,6.93,2978768,2791460,2.0,no
675,1990-7-25,2008,sales,married,high,high,8.67,4467060,4136549,3.0,no
676,1986-1-31,2011,rnd,married,very high,very high,6.67,4252000,3777540,1.0,no
677,1972-6-23,1992,rnd,married,high,medium,6.93,4268784,4038584,4.0,no
678,1973-3-8,2008,rnd,married,high,high,7.2,4363416,4003868,4.0,no
679,1990-5-15,2012,sales,married,high,high,8.1,4423329,4136658,1.0,no
680,1985-9-21,2013,rnd,single,high,very high,6.93,5459168,4989642,2.0,no
681,1983-9-10,2006,rnd,married,high,low,7.8,7705386,7226283,,no
682,1989-4-25,2016,rnd,married,very high,medium,7.5,6246225,5673744,6.0,no
683,1996-5-26,2020,sales,married,high,medium,6.93,3137056,2869346,,yes
684,1981-9-3,2010,sales,,high,medium,6.67,5248200,4929738,2.0,no
685,1995-4-25,2014,sales,single,high,low,6.67,4286200,4032931,1.0,no
686,1980-10-11,2001,rnd,single,high,low,9.0,6309360,5908193,,no
687,1985-6-2,2005,rnd,single,very high,high,7.2,6828840,6172125,4.0,no
688,2002-7-18,2020,sales,single,high,medium,8.1,3680964,3444015,1.0,yes
689,2001-11-2,2020,rnd,single,high,low,7.2,7152840,6526909,1.0,yes
690,1990-11-17,2011,rnd,married,high,very high,8.67,4274140,4045182,0.0,no
691,1981-11-27,2018,rnd,,high,medium,7.2,2978856,2778524,8.0,no
692,1989-12-27,2013,rnd,married,high,low,8.67,9499100,8940329,1.0,no
693,1985-3-22,2005,sales,married,high,very high,9.0,5719140,5414826,1.0,yes
694,1988-8-25,2015,rnd,single,high,very high,6.93,3339856,3119611,0.0,no
695,1984-7-20,2004,sales,married,high,high,7.5,4026600,3805500,5.0,yes
696,1976-6-21,2012,rnd,married,high,medium,8.67,5900700,5559355,1.0,no
697,1992-8-1,2018,sales,married,high,very high,6.93,6813872,6321432,1.0,no
698,1986-1-29,2016,sales,married,high,high,7.2,7537968,6974433,,no
